Sp;minimum_frequent_depth;maximum_frequent_depth;minimum_depth;maximum_depth
Crypturopus pachytus (Dybowsky, 1874);1.5;30;0.5;629
Crypturopus tuberculatus (Dybowsky, 1874);10;15;1.5;99
Crypturopus tenuipes Bazikalova, 1945;1;7;1;37
Crypturopus inflatus (Dybowsky, 1874);10;50;2.5;800
Crypturopus rugosus (Dybowsky, 1874);1.8;20;1.8;50
Homocerisca perla (Dybowsky, 1874);40;50;10;371
Homocerisca perloides Bazikalova, 1945;70;200;6;1450
Homocerisca caudata Bazikalova, 1945;430;900;430;900
Homocerisca tenuicauda Bazikalova, 1975;60;300;60;300
Micruropus wahlii (Dybowsky, 1874);0;5;0;42
Micruropus platycercus (Dybowsky, 1874);0;5;0;154
Micruropus klukii (Dybowsky, 1874);0.5;20;0;88
Micruropus talitroides (Dybowsky, 1874);0.5;63;0.5;63
Micruropus eurypus Bazikalova, 1945;0.5;60;0.5;60
Micruropus ushkani Bazikalova, 1945;1;10;1;47
Micruropus possolskii Sowinsky, 1915;0;4;0;9
Micruropus crassipes Sowinsky, 1915;5;10;1;12
Micruropus ciliodorsalis Sowinsky, 1915;0;76;0;185
Micruropus parvulus Bazikalova, 1945;40;680;6;680
Micruropus mozi Bazikalova, 1945;5;5;5;5
Micruropus cristatus Dorogostaisky, 1936;2;50;2;105
Micruropus rostratus Bazikalova, 1962;5;186;5;186
Micruropus semenowi Bazikalova, 1945;20;119;5;119
Micruropus dubius Bazikalova, 1962;2;10;1;25
Micruropus galasii Bazikalova, 1962;3;14;3;14
Micruropus pupilla Bazikalova, 1962;16;20;16;20
Micruropus pusillus Bazikalova, 1962;11.5;11.5;11.5;11.5
Micruropus laeviusculus (Sowinsky, 1915);2;15;0;124
Micruropus macroconus Bazikalova, 1945;1.8;71;1.8;71
Micruropus gurjanowae Bazikalova, 1945;2.7;44;2.7;70
Micruropus tenuis Bazikalova, 1962;24;42;24;42
Micruropus garjajewi Bazikalova, 1945;1.5;37;1.5;37
Micruropus ivanowi Bazikalova, 1945;1.5;132;1.5;132
Micruropus eugenii Bazikalova, 1959;1.8;20;1.8;20
Micruropus latus Bazikalova, 1962;1.5;16;1.5;16
Micruropus calceolaris Bazikalova, 1945;3.5;37;3.5;37
Micruropus glaber (Dybowsky, 1874);0.5;15;0.5;70
Micruropus murini Bazikalova, 1945;4;71;4;71
Micruropus minutus (Sowinsky, 1915);0.5;10;0.5;54
Micruropus koshowi Bazikalova, 1945;0.3;25;0.3;25
Micruropus setosus Bazikalova, 1945;0;6;0;6
Micruropus brevicauda Bazikalova, 1945;4;36;4;36
Micruropus asper Bazikalova, 1962;1.5;7;1.5;7
